turn,defender_x,defender_y,intruder_x,intruder_y
1,14,15,64,63
2,15,15,63,63
3,15,16,63,62
4,15,17,62,62
5,15,18,62,61
6,15,19,61,61
7,15,20,61,60
8,15,21,60,60
9,15,22,60,59
10,15,23,59,59
11,15,24,59,58
12,15,25,58,58
13,16,25,58,57
14,16,26,57,57
15,17,26,57,56
16,18,26,56,56
17,18,27,56,55
18,19,27,55,55
19,20,27,55,54
20,21,27,54,54
21,22,27,54,53
22,23,27,53,53
23,24,27,53,52
24,25,27,52,52
25,26,27,52,51
26,27,27,51,51
27,27,28,51,50
28,28,28,50,50
29,28,29,50,49
30,29,29,49,49
31,29,30,49,48
32,30,30,48,48
33,30,31,48,47
34,31,31,47,47
35,31,32,47,46
36,32,32,46,46
37,32,33,46,45
38,32,34,45,45
39,32,35,45,44
40,32,36,44,44
41,32,37,44,43
42,32,38,43,43
43,32,39,43,42
44,33,39,42,42
45,34,39,42,41
46,35,39,41,41
47,36,39,41,40
48,37,39,40,40
